index	promptID	pairID	genre	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence1	sentence2	label1	label2	label3	label4	label5	gold_label
3107								Several women stand on a platform near the yellow line.	Several women stand on a platform near the red line.						contradiction
3109								Several women stand on a platform near the yellow line.	Several women stand on a platform near the green line.						contradiction
3108								Several women stand on a platform near the yellow line.	Several women stand on a platform near the black line.						contradiction
3106								Several women stand on a platform near the yellow line.	Several women stand on a platform far away from the yellow line.						contradiction
3105								Several women stand on a platform near the yellow line.	Several women stand on a platform far from the yellow line.						contradiction
7740								The man is holding a saxophone.	The man is holding a french horn.						contradiction
7743								The man is holding a saxophone.	The man is holding an instrument.						entailment
7741								The man is holding a saxophone.	The man is holding an electric guitar.						contradiction
7744								The man is holding a saxophone.	The man is holding an acoustic guitar.						contradiction
7742								The man is holding a saxophone.	The man is holding a piano.						contradiction
1634								Yellow banners with a black lion print are hung across some trees in a sun-lit neighborhood.	Yellow banners with a white lion print are hung across some trees in a sun-lit neighborhood.						contradiction
1633								Yellow banners with a black lion print are hung across some trees in a sun-lit neighborhood.	Yellow banners with a yellow lion print are hung across some trees in a sun-lit neighborhood.						contradiction
1631								Yellow banners with a black lion print are hung across some trees in a sun-lit neighborhood.	Yellow banners with a silver lion print are hung across some trees in a sun-lit neighborhood.						contradiction
1632								Yellow banners with a black lion print are hung across some trees in a sun-lit neighborhood.	Yellow banners with a purple lion print are hung across some trees in a sun-lit neighborhood.						contradiction
1630								Yellow banners with a black lion print are hung across some trees in a sun-lit neighborhood.	Yellow banners with a black lion print are hung across some trees in a moon-lit neighborhood.						contradiction
6565								A woman cooking thanksgiving dinner in the kitchen.	A woman cooking thanksgiving dinner in the courtroom.						contradiction
6566								A woman cooking thanksgiving dinner in the kitchen.	A woman cooking thanksgiving dinner in the prison cell.						contradiction
6568								A woman cooking thanksgiving dinner in the kitchen.	A woman cooking thanksgiving dinner in the classroom.						contradiction
6567								A woman cooking thanksgiving dinner in the kitchen.	A woman cooking thanksgiving dinner in the dining room.						contradiction
6569								A woman cooking thanksgiving dinner in the kitchen.	A woman cooking thanksgiving dinner in the bedroom.						contradiction
6013								A person in blue and red ice climbing with two picks.	A person in blue and red ice climbing with 10 picks.						contradiction
6011								A person in blue and red ice climbing with two picks.	A person in blue and red ice climbing with ten picks.						contradiction
6010								A person in blue and red ice climbing with two picks.	A person in blue and red ice climbing with five picks.						contradiction
6014								A person in blue and red ice climbing with two picks.	A person in blue and red ice climbing with 12 picks.						contradiction
6012								A person in blue and red ice climbing with two picks.	A person in blue and red ice climbing with six picks.						contradiction
7658								A mural of children on a brick wall.	A mural of children on a plastic wall.						contradiction
7655								A mural of children on a brick wall.	A mural of children on a bronze wall.						contradiction
7656								A mural of children on a brick wall.	A mural of children on a wood wall.						contradiction
7657								A mural of children on a brick wall.	A mural of children on a glass wall.						contradiction
7659								A mural of children on a brick wall.	A mural of children on a cement wall.						contradiction
5598								Person drinking beer.	Person drinking champagne.						contradiction
5597								Person drinking beer.	Person drinking cider.						contradiction
5596								Person drinking beer.	Person drinking vodka.						contradiction
